image,catalogue_id,proposed_name,brand,category,subcategory,pack_size,price_bzd_seen_on_shelf,price_status,pharmacist_review,prescription_only,name_needs_confirming,ocr_suggested_name,extra_views,CONFIRM_name,CONFIRM_brand,CONFIRM_price,CONFIRM_in_stock,CONFIRM_prescription,CONFIRM_publish_image,notes
cosmic-product-193,cp-168,Clobetasol Propionate Cream USP 0.05%,Encube,prescription-refills,Dermatology,15 grams,,confirm-price,yes,yes,,Steroid cream for inflammatory skin,,,,,,,,
cosmic-product-194,cp-169,Acne Medication Benzoyl Peroxide Gel 10%,Rugby,skin-hair-beauty,Targeted treatments,1.5 oz (42.5 g),20,demo-only,,,,CLES pyMEe,,,,,,,,
cosmic-product-195,cp-170,Becoplex Complex plus Vitamin C Syrup,Becoplex,vitamins-supplements,Tonics and syrups,125 mL,10,demo-only,,,,Last one gvailable 10 aw,,,,,,,,
cosmic-product-196,cp-171,Collagen Peptides Gummies Type 1 and 3,Nature's Truth,vitamins-supplements,Collagen and beauty,,20,demo-only,,,,Collagen to prevent wrinkles and sagging,,,,,,,,
cosmic-product-197,cp-172,Wellteen Her,Vitabiotics,vitamins-supplements,Teen health,,20,demo-only,,,,girls (ove Sine,,,,,,,,
cosmic-product-198,cp-173,Ultra Clear Ophthalmic Solution,Lafar,eye-ear-care,Eye drops,,,confirm-price,yes,,,vedrops,,,,,,,,
cosmic-product-199,cp-174,Senna Tablets 8.6 mg,Major,otc-medicine,Digestive and antispasmodic,100 tablets,8,demo-only,yes,,,Stiacatant laxative for,,,,,,,,
cosmic-product-201,cp-175,NyQuil Cold and Flu Nighttime Relief,Vicks,otc-medicine,Cough and cold,8 fl oz (236 mL),,confirm-price,yes,,,Most famous cough syrup,,,,,,,,
cosmic-product-202,cp-176,Convifer con Hierro Solution,Convifer,vitamins-supplements,Tonics and syrups,100 mL,6.75,demo-only,yes,,,CONVIFER,,,,,,,,
cosmic-product-203,cp-177,"Biotin 5,000 mcg",Nature's Bounty,vitamins-supplements,Collagen and beauty,,,confirm-price,,,,Biotin,cosmic-product-265,,,,,,,
cosmic-product-204,cp-178,"Vitamin D3 10,000 IU (250 mcg)",Sundance,vitamins-supplements,Vitamins,100 softgels,,confirm-price,yes,,,MATURES,,,,,,,,
cosmic-product-206,cp-179,Wellwoman Original,Vitabiotics,vitamins-supplements,Women's health,,,confirm-price,,,,ar y a ORIGINAL,,,,,,,,
cosmic-product-207,cp-180,Full Spectrum Chasteberry Fruit 400 mg,Swanson,womens-wellness,Hormonal support,,,confirm-price,yes,,,SWANSON,,,,,,,,
cosmic-product-208,cp-181,Nerve and Blood Supplement,Dr Chase,vitamins-supplements,Tonics and syrups,,,confirm-price,,,,NERVE,,,,,,,,
cosmic-product-209,cp-182,Ashwagandha Root 920 mg,Nature's Truth,vitamins-supplements,Herbal supplements,,,confirm-price,,,,i me,,,,,,,,
cosmic-product-211,cp-183,Perfect7 Woman Plus,Seven Seas,womens-wellness,Women's health,30 day duo pack,,confirm-price,,,,H A,,,,,,,,
cosmic-product-212,cp-184,"Phytoestrogen with Wild Yam, Black Cohosh and Dong Quai",Solaray,womens-wellness,Hormonal support,,,confirm-price,yes,,,"4 WILD YAM, BLACK COHOS",,,,,,,,
cosmic-product-213,cp-185,"Cold Pressed Evening Primrose Oil 1,000 mg",Sundance,womens-wellness,Hormonal support,,,confirm-price,,,,EVENING,,,,,,,,
cosmic-product-215,cp-186,Menopace Original,Vitabiotics,womens-wellness,Hormonal support,22 nutrients,,confirm-price,yes,,,MENOPAUSE 3,,,,,,,,
cosmic-product-216,cp-187,"Hair, Skin and Nails Gummies",Puritan's Pride,vitamins-supplements,Collagen and beauty,80 gummies,,confirm-price,,,,a GUMMIES,cosmic-product-264,,,,,,,
cosmic-product-217,cp-188,"Hair, Skin and Nails Gummies with Collagen",Nature's Bounty,vitamins-supplements,Collagen and beauty,,,confirm-price,,,,GUMMIES,cosmic-product-271,,,,,,,
cosmic-product-218,cp-189,B-12 Energy Gummies,Nature's Truth,vitamins-supplements,B vitamins,,,confirm-price,,,,GUMMIES,,,,,,,,
cosmic-product-220,cp-190,Organic Apple Cider Vinegar with Mother,Puritan's Pride,vitamins-supplements,Herbal supplements,,,confirm-price,,,,Se Lae PPLE GIDEA,,,,,,,,
cosmic-product-221,cp-191,Complejo B Diabetico Tablets,Avivia,vitamins-supplements,B vitamins,30 tablets,,confirm-price,yes,,,TL re,,,,,,,,
cosmic-product-222,cp-192,One Daily Women's Multivitamin,Puritan's Pride,vitamins-supplements,Multivitamins,100 coated caplets,,confirm-price,,,,WOMEN S MULTIVITAMIN,,,,,,,,
cosmic-product-223,cp-193,Apple Cider Vinegar 480 mg Capsules,Puritan's Pride,vitamins-supplements,Herbal supplements,,,confirm-price,,,,Try,cosmic-product-269,,,,,,,
cosmic-product-224,cp-194,Women's Multivitamin Gummies with Collagen,Nature's Bounty,vitamins-supplements,Multivitamins,,,confirm-price,,,,t 4 VITAMING,cosmic-product-253,,,,,,,
cosmic-product-225,cp-195,Ovulation Test and Pregnancy Test Kit,MomMed,womens-wellness,Fertility and testing,5 pregnancy and 15 ovulation strips,,confirm-price,yes,,,Ovulation Test and i™,,,,,,,,
cosmic-product-226,cp-196,Potassium Citrate 99 mg,Puritan's Pride,vitamins-supplements,Minerals,,,confirm-price,,,,f 5 enh pramtan a,,,,,,,,
cosmic-product-227,cp-197,High Potency Selenium 200 mcg,Sundance,vitamins-supplements,Minerals,,,confirm-price,,,,noe POTONCY,,,,,,,,
cosmic-product-228,cp-198,Myo and D-Chiro Inositol,Nutricost,womens-wellness,Hormonal support,"2,000 mg and 50 mg per serving",,confirm-price,yes,,,Inositol,,,,,,,,
cosmic-product-229,cp-199,Ultra Doceplex Rapid Sublingual B6 + B9 + B12,Vijosa,vitamins-supplements,B vitamins,,,confirm-price,,,,wed yitsnie™,,,,,,,,
cosmic-product-231,cp-200,Papaya Enzyme Digestive Aid,Puritan's Pride,vitamins-supplements,Digestive support,250 chewables,,confirm-price,,,,MO. tee AFTER MEAL SUPPLEMENT,,,,,,,,
cosmic-product-232,cp-201,Yeast Free Chromium Picolinate 500 mcg,Puritan's Pride,vitamins-supplements,Minerals,,,confirm-price,,,,TATE,,,,,,,,
cosmic-product-233,cp-202,ABC Complete Women's Multivitamin,Sundance,vitamins-supplements,Multivitamins,60 coated caplets,,confirm-price,,,,LMINERAL FORMELA,,,,,,,,
cosmic-product-234,cp-203,Alpha Lipoic Acid 600 mg plus Biotin,Nature's Truth,vitamins-supplements,Minerals,,,confirm-price,,,,shy Pe KATURES TRUTH,,,,,,,,
cosmic-product-237,cp-204,Nerve Food Dietary Supplement,Dr Chase,vitamins-supplements,Tonics and syrups,,,confirm-price,,,,D CHASE,,,,,,,,
cosmic-product-238,cp-205,Complejo B Tablets,Avivia,vitamins-supplements,B vitamins,30 tablets,,confirm-price,,,,es rT i,,,,,,,,
cosmic-product-239,cp-206,"Moringa 1,000 mg plus B6",Alfa,vitamins-supplements,Herbal supplements,,,confirm-price,,,,naa,,,,,,,,
cosmic-product-240,cp-207,Magnesium Citrate 150 mg High Absorption,,vitamins-supplements,Minerals,120 capsules,,confirm-price,,,yes,i a,,,,,,,,
cosmic-product-241,cp-208,Herbal Colon Cleanser,Mason Natural,vitamins-supplements,Digestive support,,,confirm-price,yes,,,CLEANSER,,,,,,,,
cosmic-product-242,cp-209,One-Daily Multi-Vitamin,Geri-Care,vitamins-supplements,Multivitamins,,,confirm-price,,,,DAILY,,,,,,,,
cosmic-product-243,cp-210,Calcium 600 mg,Rugby,vitamins-supplements,Minerals,,,confirm-price,,,,Calcium Supple,,,,,,,,
cosmic-product-244,cp-211,Complete Protein and Vitamin Shake Mix,Nature's Bounty,vitamins-supplements,Protein and sports,,,confirm-price,,,,j PROTEIN,,,,,,,,
cosmic-product-245,cp-212,Ultra Doceplex Mega Woman+,Vijosa,womens-wellness,Women's health,,,confirm-price,,,,,,,,,,,,
cosmic-product-246,cp-213,Premium Coconut Activated Charcoal 780 mg,Nature's Truth,vitamins-supplements,Digestive support,,,confirm-price,yes,,,CHARCOAL,,,,,,,,
cosmic-product-247,cp-214,Apple Cider Vinegar Gummies 600 mg,Nature's Truth,vitamins-supplements,Herbal supplements,,,confirm-price,,,,,cosmic-product-272,,,,,,,
cosmic-product-248,cp-215,Horny Goat Weed with Maca,Nature's Truth,vitamins-supplements,Men's health,,,confirm-price,yes,,,GOAT WEED,,,,,,,,
cosmic-product-249,cp-216,"Virgin Cold Pressed Black Cumin Seed Oil 2,000 mg",Nature's Truth,vitamins-supplements,Omega and fish oils,,,confirm-price,,,,,,,,,,,,
cosmic-product-250,cp-217,"Vaginal Infection Test, pH Rapid Test",Suresign,womens-wellness,Fertility and testing,2 tests,,confirm-price,yes,,,,,,,,,,,
cosmic-product-261,cp-218,Immunace Original,Vitabiotics,vitamins-supplements,Immune support,,,confirm-price,,,,immunaceé,,,,,,,,
cosmic-product-262,cp-219,"Vitamin D3 + K2, 125 mcg / 50 mcg",Solaray,vitamins-supplements,Vitamins,,,confirm-price,,,,TAMING Hi,,,,,,,,
cosmic-product-263,cp-220,Ultra Doceplex Mega Man+,Vijosa,vitamins-supplements,Men's health,,,confirm-price,,,,UIE Ie,,,,,,,,
cosmic-product-266,cp-221,Serene Stress Support,BeBelle,vitamins-supplements,Sleep support,,,confirm-price,yes,,,3 ys GAMMA,,,,,,,,
cosmic-product-267,cp-222,Probiotic Acidophilus 500 Million,Sundance,vitamins-supplements,Digestive support,,,confirm-price,,,,UNDANCE,,,,,,,,
cosmic-product-268,cp-223,Chewable Probiotic Acidophilus 6 Billion,Sundance,vitamins-supplements,Digestive support,60 chewables,,confirm-price,,,,PROBIOTIC,,,,,,,,
cosmic-product-273,cp-224,"One Daily Advanced Probiotic-14, 3 Billion CFU",Nature's Truth,vitamins-supplements,Digestive support,60 quick release capsules,,confirm-price,,,,PROBIOTIC-14,,,,,,,,
cosmic-product-277,cp-225,Creatine Monohydrate,Rule 1,vitamins-supplements,Protein and sports,,,confirm-price,yes,,,CREATINE,,,,,,,,
cosmic-product-279,cp-226,Women's Health Probiotic 5 Billion with Cranberry,,womens-wellness,Urinary health,45 vegetarian capsules,,confirm-price,,,yes,Probiotic,,,,,,,,
cosmic-product-280,cp-227,"Vitamin E Oil, 13,500 IU",Nature's Bounty,vitamins-supplements,Vitamins,,,confirm-price,,,,TT T,,,,,,,,
cosmic-product-281,cp-228,Whole Herb Saw Palmetto 500 mg,Mason Natural,vitamins-supplements,Men's health,,,confirm-price,yes,,,4 AW PALMETI,,,,,,,,
cosmic-product-282,cp-229,"Whey Protein Blend, Cookies and Creme",Rule 1,vitamins-supplements,Protein and sports,,,confirm-price,,,,ig Seees,,,,,,,,
cosmic-product-283,cp-230,"Grass Fed Hydrolyzed Collagen Type I and III 3,000 mg",Sundance,vitamins-supplements,Collagen and beauty,,,confirm-price,,,,Z COLLAGEN,,,,,,,,
cosmic-product-286,cp-231,Chewable Kid's Probiotic 3 Billion,Sundance,vitamins-supplements,Children's supplements,30 chewables,,confirm-price,,,,PROBIOTIC,,,,,,,,
cosmic-product-011,g-011,Stop the Noise: Female Wellness and PMOS guidance,,GALLERY (not a product),social-highlights,,,,,,,,,,,,,,,
cosmic-product-012,g-012,Cosmic Pharmacy services at a glance,,GALLERY (not a product),social-highlights inside-cosmic,,,,,,,,,,,,,,,
cosmic-product-145,g-145,Father's month men's health display,,GALLERY (not a product),social-highlights,,,,,,,,,,,,,,,
cosmic-product-155,g-155,Behind the counter at Cosmic Pharmacy,,GALLERY (not a product),inside-cosmic,,,,,,,,,,,,,,,
cosmic-product-158,g-158,Vitamin E: enhance your health,,GALLERY (not a product),social-highlights products-wellness,,,,,,,,,,,,,,,
cosmic-product-159,g-159,Vitamin C: boost your immunity,,GALLERY (not a product),social-highlights products-wellness,,,,,,,,,,,,,,,
cosmic-product-160,g-160,Omega 3 supplements explained,,GALLERY (not a product),social-highlights products-wellness,,,,,,,,,,,,,,,
cosmic-product-161,g-161,A traditional preference: cod liver oil,,GALLERY (not a product),social-highlights products-wellness,,,,,,,,,,,,,,,
cosmic-product-162,g-162,Boost your child's immune system,,GALLERY (not a product),social-highlights products-wellness,,,,,,,,,,,,,,,
cosmic-product-163,g-163,Cod liver oil for colds and flu,,GALLERY (not a product),social-highlights products-wellness,,,,,,,,,,,,,,,
cosmic-product-164,g-164,Whey protein and creatine powder,,GALLERY (not a product),social-highlights products-wellness,,,,,,,,,,,,,,,
cosmic-product-165,g-165,Signs and symptoms of menopause,,GALLERY (not a product),social-highlights products-wellness,,,,,,,,,,,,,,,
cosmic-product-166,g-166,Evening primrose oil explained,,GALLERY (not a product),social-highlights products-wellness,,,,,,,,,,,,,,,
cosmic-product-167,g-167,Sleep support on the shelf,,GALLERY (not a product),products-wellness inside-cosmic,,,,,,,,,,,,,,,
cosmic-product-168,g-168,The melatonin range,,GALLERY (not a product),products-wellness inside-cosmic,,,,,,,,,,,,,,,
cosmic-product-170,g-170,The magnesium range,,GALLERY (not a product),products-wellness inside-cosmic,,,,,,,,,,,,,,,
cosmic-product-174,g-174,Relaxation and sleep support,,GALLERY (not a product),products-wellness inside-cosmic,,,,,,,,,,,,,,,
cosmic-product-178,g-178,The vitamin D range,,GALLERY (not a product),products-wellness inside-cosmic,,,,,,,,,,,,,,,
cosmic-product-191,g-191,Our favourite sunscreen,,GALLERY (not a product),social-highlights products-wellness,,,,,,,,,,,,,,,
cosmic-product-210,g-210,Inside Cosmic Pharmacy,,GALLERY (not a product),inside-cosmic,,,,,,,,,,,,,,,
cosmic-product-214,g-214,Treating magnesium deficiency,,GALLERY (not a product),social-highlights products-wellness,,,,,,,,,,,,,,,
cosmic-product-255,g-255,The B vitamin range,,GALLERY (not a product),products-wellness inside-cosmic,,,,,,,,,,,,,,,
cosmic-product-256,g-256,What ashwagandha supports,,GALLERY (not a product),social-highlights products-wellness,,,,,,,,,,,,,,,
cosmic-product-257,g-257,Complejo B: energy and brain support,,GALLERY (not a product),social-highlights products-wellness,,,,,,,,,,,,,,,
cosmic-product-258,g-258,CoQ-10 for heart health,,GALLERY (not a product),social-highlights products-wellness,,,,,,,,,,,,,,,
cosmic-product-259,g-259,Convifer: two for the price of one,,GALLERY (not a product),social-highlights,,,,,,,,,,,,,,,
cosmic-product-260,g-260,Three bottles of One-Daily for eleven dollars,,GALLERY (not a product),social-highlights,,,,,,,,,,,,,,,
cosmic-product-275,g-275,What creatine monohydrate does,,GALLERY (not a product),social-highlights products-wellness,,,,,,,,,,,,,,,
cosmic-product-276,g-276,Perfect7 Man Plus benefits,,GALLERY (not a product),social-highlights products-wellness,,,,,,,,,,,,,,,
